"Hostname","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"L-PG03VRZB","OK","Successful","7-Zip 24.09 (x64)","24.09","Igor Pavlov","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip",
"L-PG03VRZB","OK","Successful","Android Studio","2023.2","Google LLC","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Android Studio",
"L-PG03VRZB","OK","Successful","Microsoft SQL Server 2022 (64-bit)",,,"","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 16",
"L-PG03VRZB","OK","Successful","Microsoft SQL Server 2022 (64-bit)",,"Microsoft Corporation","6F3B47C9-1659-4511-A3F5-002E24969DFD","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server SQL2022",
"L-PG03VRZB","OK","Successful","Mozilla Maintenance Service","118.0.2","Mozilla","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService",
"L-PG03VRZB","OK","Successful","Notepad++ (64-bit x64)","8.7.1","Notepad++ Team","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Notepad++",
"L-PG03VRZB","OK","Successful","Microsoft 365 - en-us","16.0.18827.20164","Microsoft Corporation","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\O365HomePremRetail - en-us",
"L-PG03VRZB","OK","Successful","Microsoft OneDrive","25.105.0601.0002","Microsoft Corporation","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe",
"L-PG03VRZB","OK","Successful","VLC media player","3.0.20","VideoLAN","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VLC media player",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Executables (64-bit)","3.12.2150.0","Python Software Foundation","097D2A37-E94B-4FAD-8C89-D63443BD4D4A","3/18/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{097D2A37-E94B-4FAD-8C89-D63443BD4D4A}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 SQL Diagnostics","16.0.1000.6","Microsoft Corporation","0CEFE958-E71A-4171-9DEF-77E9234A5613","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0CEFE958-E71A-4171-9DEF-77E9234A5613}",
"L-PG03VRZB","OK","Successful","Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","0E0F96AC-80DE-4400-A40C-429D63293651","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0E0F96AC-80DE-4400-A40C-429D63293651}",
"L-PG03VRZB","OK","Successful","VMware Workstation","17.0.0","VMware, Inc.","0E992720-1330-4AB3-8155-255F79785535","10/12/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0E992720-1330-4AB3-8155-255F79785535}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Shared Management Objects","16.0.1000.6","Microsoft Corporation","12618131-AA9A-4DAE-9387-CE4417955B9F","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{12618131-AA9A-4DAE-9387-CE4417955B9F}",
"L-PG03VRZB","OK","Successful","Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35208","14.44.35208","Microsoft Corporation","130A991B-6E86-4D62-86F4-656E6C9DA867","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{130A991B-6E86-4D62-86F4-656E6C9DA867}",
"L-PG03VRZB","OK","Successful","OpenVPN Connect","3.4.2","OpenVPN Inc.","13E62609-AC5C-4E12-87F0-2D40B8C465A0","9/5/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{13E62609-AC5C-4E12-87F0-2D40B8C465A0}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Database Engine Shared","16.0.1000.6","Microsoft Corporation","161B8D12-C41B-4ACF-9BB5-E1FEE6788869","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{161B8D12-C41B-4ACF-9BB5-E1FEE6788869}",
"L-PG03VRZB","OK","Successful","Oracle VM VirtualBox 7.0.8","7.0.8","Oracle and/or its affiliates","2D9D28CD-84DE-4DC7-BAD2-CA5505324049","8/10/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2D9D28CD-84DE-4DC7-BAD2-CA5505324049}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Shared Management Objects Extensions","16.0.1000.6","Microsoft Corporation","35EC6145-E333-42DB-BCB3-380DF6140C11","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{35EC6145-E333-42DB-BCB3-380DF6140C11}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Core Interpreter (64-bit)","3.12.2150.0","Python Software Foundation","4534F2ED-1616-434D-98A6-0DA358DCD466","3/18/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{4534F2ED-1616-434D-98A6-0DA358DCD466}",
"L-PG03VRZB","OK","Successful","PuTTY release 0.78 (64-bit)","0.78.0.0","Simon Tatham","4EEF2644-700F-46F8-9655-915145248986","9/14/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{4EEF2644-700F-46F8-9655-915145248986}",
"L-PG03VRZB","OK","Successful","Java(TM) SE Development Kit 11.0.21 (64-bit)","11.0.21.0","Oracle Corporation","5289E808-A4E6-5A09-804A-590097852C24","2/24/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5289E808-A4E6-5A09-804A-590097852C24}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 DMF","16.0.1000.6","Microsoft Corporation","5AB77D4E-9E5F-4627-B78B-129A5EC2858A","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5AB77D4E-9E5F-4627-B78B-129A5EC2858A}",
"L-PG03VRZB","OK","Successful","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4","8/9/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}",
"L-PG03VRZB","OK","Successful","Microsoft SQL Server 2022 RsFx Driver","16.0.1000.6","Microsoft Corporation","629C8FC9-3763-4C58-8264-5288AE34AFEF","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{629C8FC9-3763-4C58-8264-5288AE34AFEF}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Database Engine Services","16.0.1000.6","Microsoft Corporation","6621C765-569C-4D46-A8E9-C69A47971357","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6621C765-569C-4D46-A8E9-C69A47971357}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Common Files","16.0.1000.6","Microsoft Corporation","6A68D32C-4C0D-4847-B70C-58E6B4D76A12","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6A68D32C-4C0D-4847-B70C-58E6B4D76A12}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Shared Management Objects","16.0.1000.6","Microsoft Corporation","6F8242AA-1B25-421C-8E45-FC5978D9AA3A","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6F8242AA-1B25-421C-8E45-FC5978D9AA3A}",
"L-PG03VRZB","OK","Successful","Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","76EB75D2-CCF6-41A9-90B6-922DE9146276","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{76EB75D2-CCF6-41A9-90B6-922DE9146276}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Connection Info","16.0.1000.6","Microsoft Corporation","770DA7F2-817B-4AA6-9160-08BB658ABDC6","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{770DA7F2-817B-4AA6-9160-08BB658ABDC6}",
"L-PG03VRZB","OK","Successful","Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support","16.0.35907","Microsoft Corporation","7BDD7CC4-4DC1-3A36-A3D4-17C443778107","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7BDD7CC4-4DC1-3A36-A3D4-17C443778107}",
"L-PG03VRZB","OK","Successful","Microsoft Analysis Services OLE DB Provider","16.0.5143.0","Microsoft Corporation","7CA9BDB2-DC47-44B5-B384-8938B461CC38","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7CA9BDB2-DC47-44B5-B384-8938B461CC38}",
"L-PG03VRZB","OK","Successful","Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35208","14.44.35208","Microsoft Corporation","7E35F76C-5801-4A4A-817C-66AF46D3E5AD","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7E35F76C-5801-4A4A-817C-66AF46D3E5AD}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Batch Parser","16.0.1000.6","Microsoft Corporation","7EFD8B19-A9E6-41CF-A96F-B9B6E30EC345","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7EFD8B19-A9E6-41CF-A96F-B9B6E30EC345}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Common Files","16.0.1000.6","Microsoft Corporation","8770AF64-BB4B-4404-BDD6-6AF8E4C461FC","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{8770AF64-BB4B-4404-BDD6-6AF8E4C461FC}",
"L-PG03VRZB","OK","Successful","Office 16 Click-to-Run Licensing Component","16.0.18827.20164","Microsoft Corporation","90160000-007E-0000-1000-0000000FF1CE","6/24/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-007E-0000-1000-0000000FF1CE}",
"L-PG03VRZB","OK","Successful","Office 16 Click-to-Run Extensibility Component","16.0.18827.20102","Microsoft Corporation","90160000-008C-0000-1000-0000000FF1CE","6/3/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-008C-0000-1000-0000000FF1CE}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Test Suite (64-bit)","3.12.2150.0","Python Software Foundation","94087C99-E4F5-4637-A789-3B6059DF787B","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{94087C99-E4F5-4637-A789-3B6059DF787B}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 XEvent","16.0.1000.6","Microsoft Corporation","94AEB0A0-365C-449B-B573-D2ECB353EB06","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{94AEB0A0-365C-449B-B573-D2ECB353EB06}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Shared Management Objects Extensions","16.0.1000.6","Microsoft Corporation","A0F7ACBA-075F-4BC7-A85A-5DC301FCEC74","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A0F7ACBA-075F-4BC7-A85A-5DC301FCEC74}",
"L-PG03VRZB","OK","Successful","Microsoft Teams Meeting Add-in for Microsoft Office","1.25.14602","Microsoft","A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91","6/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}",
"L-PG03VRZB","OK","Successful","Microsoft VSS Writer for SQL Server 2022","16.0.1000.6","Microsoft Corporation","AB5D8778-81F3-47E2-87A4-35E776CD664B","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AB5D8778-81F3-47E2-87A4-35E776CD664B}",
"L-PG03VRZB","OK","Successful","Adobe Acrobat (64-bit)","25.001.20531","Adobe","AC76BA86-1033-1033-7760-BC15014EA700","6/12/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-1033-1033-7760-BC15014EA700}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Tcl/Tk Support (64-bit)","3.12.2150.0","Python Software Foundation","B50C92E9-2780-433A-AA61-E9F06D0AFF8A","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{B50C92E9-2780-433A-AA61-E9F06D0AFF8A}",
